Metric,Score
Accuracy,0.46835443037974683
Precision,0.24161073825503357
Recall,0.7346938775510204
F1 Score,0.36363636363636365
mean squared error,43915306.98645097
root mean squared error,6626.86252961769
mean absolute error,3968.0786624658176
uplift,-0.2952137453570812
